epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
50,4691.15,2.41529,5.48344,3.0817,0.93672,0.72722,0.82187,0.49105,2.34445,3.32648,2.63285,7.73562e-05,7.73562e-05,7.73562e-05
51,4768.78,2.4206,5.47248,3.06453,0.90117,0.74906,0.81765,0.4652,2.50597,3.40359,2.72483,7.50004e-05,7.50004e-05,7.50004e-05
52,4849.93,2.37477,5.3549,3.04998,0.91787,0.74975,0.82197,0.49264,2.33545,3.26351,2.63881,7.26446e-05,7.26446e-05,7.26446e-05
53,4930.08,2.4199,5.44679,3.05836,0.92793,0.72225,0.81819,0.48509,2.40221,3.42965,2.68367,7.02911e-05,7.02911e-05,7.02911e-05
54,5009.56,2.4014,5.31437,3.03044,0.91893,0.73392,0.82085,0.49767,2.29792,3.27156,2.57607,6.79423e-05,6.79423e-05,6.79423e-05
55,5088.15,2.37731,5.29511,3.03008,0.91825,0.72978,0.81585,0.48801,2.34493,3.33761,2.60549,6.56004e-05,6.56004e-05,6.56004e-05
56,5165.33,2.33908,5.24017,3.02236,0.93321,0.73105,0.82483,0.49242,2.35574,3.3078,2.62885,6.32678e-05,6.32678e-05,6.32678e-05
57,5241.49,2.35653,5.24719,2.99987,0.9172,0.73322,0.82707,0.51055,2.20022,3.20795,2.52093,6.09468e-05,6.09468e-05,6.09468e-05
58,5320.28,2.36789,5.22521,2.99051,0.93136,0.72692,0.82304,0.49064,2.34726,3.21794,2.59828,5.86397e-05,5.86397e-05,5.86397e-05
59,5404.22,2.33737,5.12363,2.98503,0.93259,0.72997,0.8234,0.50416,2.26526,3.22691,2.56736,5.63487e-05,5.63487e-05,5.63487e-05
60,5511.29,2.33822,5.14686,3.01649,0.92926,0.72714,0.81896,0.50287,2.21085,3.1539,2.51692,5.40761e-05,5.40761e-05,5.40761e-05
61,5623.38,2.35441,5.25426,3.00531,0.92406,0.73705,0.82056,0.50946,2.21679,3.18291,2.51122,5.18242e-05,5.18242e-05,5.18242e-05
62,5729.27,2.31978,5.05237,3.01207,0.93264,0.72767,0.82231,0.51034,2.24737,3.19275,2.53772,4.95952e-05,4.95952e-05,4.95952e-05
63,5839.3,2.33922,5.09172,2.98646,0.91657,0.75406,0.83375,0.53688,2.06999,2.98254,2.43029,4.73912e-05,4.73912e-05,4.73912e-05
64,5953.96,2.34771,5.17233,3.01191,0.91907,0.75357,0.83076,0.50641,2.25525,3.18443,2.54669,4.52144e-05,4.52144e-05,4.52144e-05
65,6068.16,2.33068,5.07359,2.96372,0.92144,0.72923,0.82364,0.5158,2.21992,3.15921,2.52748,4.30671e-05,4.30671e-05,4.30671e-05
66,6196.8,2.35546,5.15379,2.98311,0.92981,0.75037,0.82561,0.50332,2.32349,3.18448,2.61762,4.09513e-05,4.09513e-05,4.09513e-05
67,6308.4,2.29451,5.01099,2.9414,0.91562,0.75186,0.82589,0.5039,2.26641,3.17598,2.56729,3.8869e-05,3.8869e-05,3.8869e-05
